Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
13651,"undefined","Normal Fallipian TUbe","Ellipse","10606.261,17596.193 963.528,17596.193 5784.894,22250.666 5784.894,12941.720",5784.89423778247,17596.193227060743,4821.366631010707,4654.473170706493,-1,-1,"1,0,0,0,1,0,0,0,1"
13652,"undefined","Normal Fallopian Tube (Oblique)","Polyline","31412.311,23771.250 29595.029,21916.881 29595.029,21879.789 29557.939,21805.619 29520.850,21694.350 29372.500,21397.660 29335.420,21286.391 29261.240,21100.961 29224.150,20952.609 29149.980,20841.350 29112.891,20730.080 29112.891,20544.641 29075.801,20396.289 29075.801,19988.330 29112.891,19654.551 29149.980,19357.850 29187.070,19209.500 29261.240,19061.150 29261.240,18986.971 29409.590,18764.449 29409.590,18653.189 29483.770,18579.010 29557.939,18430.660 29632.119,18393.570 29632.119,18319.400 29706.289,18282.311 29780.471,18208.141 29928.811,18022.699 30151.340,17800.170 30336.779,17651.820 30410.949,17614.740 30485.131,17540.561 30559.301,17540.561 30670.561,17429.301 30856.000,17280.949 30967.260,17206.779 31115.609,17132.600 31226.881,17058.430 31412.311,17021.340 31486.490,16984.250 31597.750,16984.250 31671.920,16947.170 31857.359,16910.080 32116.971,16798.811 32302.410,16724.641 32636.199,16613.381 32858.719,16576.289 33192.512,16502.109 33452.121,16465.029 33526.301,16390.850 33711.730,16353.760 33785.910,16353.760 33971.352,16316.680 34082.609,16279.590 34342.219,16205.420 34490.570,16168.330 34935.621,16094.150 35158.141,16094.150 35343.578,16057.060 36864.172,16057.060 37086.691,16019.980 37828.441,16019.980 37902.609,15982.890 38125.141,15982.890 38273.488,15945.800 38384.750,15945.800 38458.930,15908.710 38533.102,15908.710 38607.270,15871.630 38792.711,15871.630 38903.969,15834.540 39052.328,15760.370 39311.941,15686.190 39423.199,15686.190 39534.461,15649.110 39682.809,15612.020 40016.602,15612.020 40164.949,15574.930 40313.301,15574.930 40572.910,15537.840 40684.172,15500.750 40795.430,15500.750 41017.961,15463.670 41945.141,15463.670 42093.488,15426.580 43317.379,15426.580 43688.262,15500.750 43836.602,15574.930 44170.391,15686.190 44281.648,15760.370 44430.012,15834.540 44615.441,15945.800 44800.879,16131.240 44875.051,16168.330 44986.320,16316.680 45097.578,16427.939 45208.840,16576.289 45283.012,16687.551 45468.449,16872.990 45542.629,16984.250 45616.801,17058.430 45653.891,17169.689 45728.070,17243.859 45728.070,17355.119 45802.238,17392.211 45876.410,17466.391 45913.500,17577.650 46024.762,17726.000 46136.020,17837.260 46173.109,17911.439 46284.379,18022.699 46284.379,18059.789 46395.641,18171.051 46432.719,18245.230 46543.988,18319.400 46618.160,18467.750 46729.422,18541.920 46877.770,18727.359 46951.949,18801.539 47026.129,18912.801 47100.301,18986.971 47137.379,19061.150 47285.730,19432.020 47322.820,19506.199 47434.078,19765.811 47471.172,19839.980 47508.262,20025.420 47545.352,20173.770 47582.441,20285.029 47619.520,20470.471 47693.699,20692.990 47730.781,20767.170 47767.879,20915.520 47767.879,21063.869 47804.961,21175.131 47804.961,21397.660 47842.051,21657.270 47842.051,22287.750 47804.961,22361.930 47804.961,22399.020 47730.781,22621.539 47656.609,22658.631 47545.352,22881.160 47508.262,22918.240 47471.172,22992.420 47471.172,23029.500 47322.820,23177.850 47211.559,23214.939 47137.379,23289.109 47063.211,23289.109 46914.859,23363.289 46840.691,23363.289 46692.340,23437.471 46395.641,23437.471 46321.461,23474.551 46098.941,23474.551 46061.852,23511.641 45913.500,23548.730 45802.238,23548.730 45728.070,23585.811 45616.801,23659.990 45431.359,23659.990 45283.012,23734.160 44726.699,23734.160 44430.012,23585.811 43131.949,23585.811 42983.590,23511.641 42798.148,23474.551 42575.629,23400.381 42204.762,23289.109 42056.410,23252.029 41574.270,23140.760 41388.828,23140.760 41166.309,23103.680 40424.559,23103.680 40202.031,23214.939 40090.770,23252.029 39942.422,23289.109 39868.250,23363.289 39645.719,23437.471 39497.371,23511.641 39386.109,23548.730 38533.102,23548.730 38421.840,23585.811 38273.488,23659.990 38236.398,23659.990 38125.141,23697.080 37976.789,23734.160 37902.609,23771.250 37791.352,23808.340 37568.828,23808.340 37457.559,23845.430 36864.172,23845.430 36493.289,23771.250 35640.281,23771.250 35529.020,23734.160 35343.578,23734.160 35232.320,23697.080 35121.059,23697.080 35046.879,23659.990 34935.621,23622.900 34713.090,23622.900 34564.738,23585.811 34453.480,23548.730 34305.129,23548.730 34230.961,23511.641 33674.648,23511.641 33563.379,23548.730 33452.121,23548.730 33340.859,23585.811 33229.602,23659.990 33118.328,23659.990 33007.070,23697.080 32191.150,23697.080 32042.801,23659.990 31783.189,23659.990 31783.189,23697.080 31671.920,23734.160 31560.660,23734.160 31523.570,23771.250 31486.490,23771.250 31412.311,23808.340 31338.141,23808.340 31189.789,23659.990",-1,-1,-1,-1,-1,-1,-1
13653,"undefined","Fimbriae","Polyline","-0.750,7415.690 518.480,8379.960 666.830,8602.480 852.260,8862.100 1000.610,9010.450 1074.790,9158.790 1186.050,9307.140 1260.230,9418.410 1445.660,9715.110 1594.010,9826.370 1668.190,9900.540 1927.800,10123.070 2224.500,10419.770 2372.850,10605.200 2558.290,10753.550 2817.900,11013.170 3040.420,11161.520 3225.860,11346.950 3448.380,11495.300 3670.910,11606.570 3893.430,11792.000 4078.870,11940.350 4190.130,12014.530 4375.570,12199.970 4412.660,12274.140 4523.920,12311.230 4672.270,12385.400 4783.530,12496.660 4857.710,12496.660 4931.880,12570.840 5043.140,12607.930 5191.490,12645.010 5302.760,12719.190 5488.190,12830.450 5599.450,12867.540 5970.330,13090.060 6044.500,13127.150 6341.200,13238.410 6563.730,13349.680 6934.600,13498.020 7045.860,13498.020 7157.130,13535.110 7342.560,13535.110 7453.830,13572.200 8158.490,13572.200 8529.360,13720.550 8826.060,13831.810 8937.320,13868.900 8974.410,13905.990 9048.590,13905.990 9085.670,13943.070 9122.760,14017.250 9196.940,14017.250 9308.200,14054.340 9345.290,14091.420 9456.550,14128.510 9567.810,14128.510 9567.810,14165.600 9641.980,14165.600 9641.980,14202.690 9716.160,14276.860 9901.600,14425.210 10124.120,14684.820 10754.610,15315.310 11014.220,15612.010 11236.740,15834.530 11310.920,15945.800 11459.270,16094.150 11570.530,16279.580 11644.710,16353.760 11793.060,16687.551 11941.410,16872.980 12015.580,17021.330 12089.760,17132.590 12163.930,17206.770 12201.020,17280.939 12238.110,17429.301 12312.280,17503.471 12349.370,17651.820 12386.460,17763.080 12423.540,17911.430 12534.800,18096.869 12608.980,18245.221 12683.150,18467.740 12757.330,18541.920 12794.420,18616.090 12905.680,18912.789 13016.940,19135.320 13165.290,19394.930 13387.820,19839.980 13461.990,20025.420 13573.250,20173.760 13684.520,20396.289 13758.690,20470.461 13832.870,20618.811 13907.040,20730.070 13944.130,20841.340 14018.300,20878.420 14055.390,21026.770 14277.920,21249.301 14352.090,21360.561 14426.260,21508.910 14574.610,21768.520 14685.880,21916.869 14760.050,22028.141 14797.140,22065.221 14871.310,22176.480 14908.400,22213.570 14908.400,22250.660 14982.580,22324.830 15019.670,22436.100 15093.840,22510.270 15130.930,22621.539 15205.100,22732.801 15205.100,22769.881 15353.450,22955.320 15501.800,23177.850 15575.980,23252.020 15575.980,23289.109 15650.150,23400.369 15687.240,23437.461 15724.320,23511.631 15761.410,23548.721 15798.500,23622.891 15872.670,23622.891 15872.670,23697.070 15909.760,23697.070 15946.850,23734.160 16095.200,23808.330 16095.200,23845.420 16243.550,23882.510 16317.730,23956.680 16428.990,23993.770 16651.510,24030.859 16836.949,24067.939 16911.119,24105.029 16985.301,24105.029 17059.471,24142.119 17170.730,24179.211 17319.080,24216.289 17689.961,24364.641 17801.221,24364.641 18023.750,24438.820 18209.180,24475.910 20248.990,24475.910 20434.430,24401.730 21769.580,24401.730 21992.100,24475.910 22288.801,24512.990 22770.939,24587.170 23104.721,24624.260 23661.039,24624.260 23883.561,24661.350 24217.350,24698.430 24884.920,24698.430 25070.359,24624.260 25144.529,24587.170 25218.711,24587.170 25329.971,24512.990 25478.320,24438.820 25515.410,24438.820 25626.670,24327.561 25812.109,24216.289 25923.369,24179.211 26108.811,24179.211 26257.160,24142.119 26813.471,24142.119 26961.820,24105.029 27035.990,24067.939 27073.080,24030.859 27147.250,24030.859 27184.340,23993.770 27221.430,23993.770 27258.520,23956.680 27295.600,23956.680 27369.779,23919.600 27555.221,23734.160 27592.301,23734.160 27740.650,23511.631 27851.920,23177.850 28000.270,22844.061 28111.529,22584.449 28185.699,22287.750 28334.051,21620.170 28408.230,21212.211 28445.311,20989.689 28482.400,20841.340 28519.490,20655.900 28519.490,20507.551 28556.580,20285.029 28556.580,20136.680 28593.660,20025.420 28593.660,19691.631 28630.750,19654.539 28667.840,19580.359 28667.840,19469.100 28742.010,19320.750 28779.100,19209.490 28890.359,19024.051 28927.449,18912.789 29001.631,18801.529 29112.891,18690.270 29149.980,18579.000 29261.240,18504.830 29298.330,18393.570 29409.590,18319.391 29483.760,18208.131 29557.939,18133.949 29669.199,18096.869 29669.199,18059.779 29743.381,18022.689 29780.461,18022.689 30002.990,17874.340 30077.160,17763.080 30299.689,17651.820 30373.859,17577.641 30522.211,17466.381 30633.471,17355.119 30818.910,17280.939 31078.520,17132.590 31301.051,17058.420 31486.480,16947.160 31634.830,16872.980 31857.359,16835.891 32042.801,16798.811 32302.410,16687.551 32599.109,16576.279 33155.422,16353.760 33563.379,16242.500 33934.262,16131.240 34268.039,16057.060 34601.828,15945.800 35121.051,15760.360 35640.281,15500.750 36307.852,15241.130 36641.641,15166.960 36938.340,15129.870 37420.469,15055.700 38421.840,15055.700 38607.270,15092.780 38941.059,15166.960 39163.578,15204.050 39349.020,15241.130 39831.160,15241.130 39979.512,15278.220 40906.691,15278.220 40980.871,15241.130 41574.270,15241.130 41648.441,15278.220 41796.801,15315.310 41870.969,15315.310 41982.230,15352.400 42204.750,15352.400 42538.539,15463.660 42761.059,15500.750 43020.680,15537.830 43243.199,15537.830 43354.461,15574.920 43576.988,15612.010 43688.250,15649.100 43762.430,15649.100 44059.129,15723.270 44281.648,15760.360 44504.172,15834.530 44912.141,15908.710 45097.570,15945.800 45320.102,15945.800 45394.270,16019.970 45431.359,16019.970 45468.449,16057.060 45505.539,16057.060 45579.711,16131.240 45690.980,16205.410 45765.148,16316.670 45876.410,16390.840 45950.578,16502.109 46247.289,16724.631 46358.551,16798.811 46358.551,16835.891 46432.730,16835.891 46432.730,16872.980 46469.809,16872.980 46543.980,16910.070 46766.512,16984.240 46914.859,17021.330 47063.211,17021.330 47211.559,17058.420 47471.172,17058.420 47619.520,17021.330 47842.039,16947.160 47953.309,16872.980 48027.480,16798.811 48064.570,16724.631 48101.660,16687.551 48138.738,16613.369 48175.828,16465.020 48324.180,16094.150 48324.180,16019.970 48361.270,15982.880 48361.270,15574.920 48324.180,15278.220 48212.922,14981.520 48212.922,14870.260 48175.828,14573.560 48101.660,14388.120 48027.480,14165.600 47953.309,13905.990 47879.129,13535.110 47879.129,13423.850 47842.039,13238.410 47804.961,13015.890 47767.871,12756.280 47767.871,12682.100 47730.789,12496.660 47730.789,10345.590 47767.871,10234.330 47767.871,9678.020 47804.961,9529.670 47804.961,8639.570 47842.039,8342.870 47842.039,3521.500 47804.961,3447.330 47804.961,3373.160 47767.871,3373.160 47767.871,3336.070 47730.789,3336.070 47730.789,3298.980 47693.691,3298.980 47693.691,3261.890 47730.789,3113.540 47879.129,2631.410 47916.219,2186.360 47916.219,1259.170 47804.961,1185.000 47619.520,1147.910 47434.078,1036.650 46840.680,851.210 46358.551,739.950 45394.270,480.340 44355.820,294.900 44170.391,257.810 43539.898,220.720 43206.109,146.550 42130.578,146.550 41908.051,183.640 41537.180,331.990 41092.129,443.250 40498.738,517.420 39237.762,517.420 39089.410,554.510 38941.059,554.510 38681.449,591.600 38088.051,591.600 37643.000,443.250 37568.820,443.250 37457.559,369.070 37420.469,369.070 37346.301,331.990 37197.949,331.990 37160.871,294.900 36938.340,220.720 36715.809,220.720 36530.379,146.550 35491.930,146.550 35380.672,220.720 35083.969,294.900 34898.531,331.990 34564.738,443.250 34416.391,480.340 34342.219,517.420 34008.430,628.680 33897.172,628.680 33822.988,702.860 33637.559,777.040 33452.121,814.120 33192.512,851.210 31597.750,851.210 30707.650,739.950 29075.801,739.950 28927.449,777.040 28704.930,777.040 28556.580,814.120 27481.039,814.120 27332.689,777.040 27035.990,739.950 26479.680,628.680 26182.980,591.600 25849.189,554.510 24514.051,554.510 24143.170,591.600 23920.650,628.680 23772.301,628.680 23698.119,665.770 23290.160,665.770 23104.721,702.860 22882.199,739.950 21992.100,739.950 21472.881,702.860 21398.699,702.860 20879.480,628.680 20471.520,591.600 18097.920,591.600 17801.221,554.510 16985.301,554.510 16836.949,517.420 16577.340,480.340 16503.160,480.340 16317.730,443.250 16243.550,443.250 16058.110,406.160 15613.060,369.070 15316.360,369.070 14760.050,294.900 14426.260,220.720 14092.480,183.640 13869.950,109.460 13424.900,72.370 13239.470,35.290 12942.770,-1.800 12720.240,-38.890 11273.830,-38.890 11051.310,35.290 10754.610,72.370 10087.030,294.900 9901.600,294.900 9456.550,369.070 9122.760,406.160 8455.190,406.160 8195.570,369.070 8047.230,331.990 8010.140,294.900 7861.790,294.900 7676.350,257.810 6674.990,257.810 6452.470,369.070 6304.120,406.160 5970.330,480.340 5896.160,517.420 5747.800,554.510 5154.410,554.510 5080.230,591.600 4968.970,628.680 4746.440,665.770 4709.360,665.770 4449.740,739.950 4375.570,739.950 4190.130,777.040 4004.690,777.040 3930.520,814.120 3819.260,851.210 3745.080,851.210 3670.910,888.300 3596.730,888.300 3411.300,962.470 3337.120,999.560 3225.860,1036.650 3151.680,1036.650 2966.250,1073.730 2929.160,1110.820 2817.900,1147.910 2706.630,1222.080 2521.200,1296.260 2409.940,1333.350 2224.500,1370.430 2113.240,1407.520 1964.890,1444.610 1816.540,1518.780 1779.450,1518.780 1705.270,1630.050 1631.100,1630.050 1482.750,1741.310 1408.570,1778.400 1297.310,1852.570 1223.140,1926.750 1111.870,2000.920 778.090,2334.710 703.910,2445.970 592.650,2594.320 407.210,2779.760 370.130,2965.190 184.690,3521.500 36.340,3781.120 -112.010,4226.170 -112.010,4374.520 -149.100,4485.780 -149.100,5338.790 -112.010,5412.960 -74.920,5561.310 -0.750,5746.750 36.340,5932.190 147.600,6340.150 147.600,6488.500 221.780,6748.110 221.780,7972.000",-1,-1,-1,-1,-1,-1,-1
13654,"undefined","STIC","Polyline","29425.561,10360.800 29472.311,10360.800 29472.311,10368.590 29483.990,10372.480 29483.990,10380.270 29495.680,10395.860 29495.680,10403.650 29499.580,10403.650 29503.471,10411.440 29503.471,10493.250 29507.369,10493.250 29507.369,10497.140 29515.160,10501.040 29522.949,10520.520 29530.740,10524.410 29530.740,10528.310 29534.641,10528.310 29534.641,10539.990 29542.430,10551.680 29542.430,10559.470 29550.221,10567.260 29554.109,10594.530 29561.910,10610.120 29565.801,10610.120 29569.699,10633.490 29577.490,10645.180 29577.490,10664.660 29596.971,10707.510 29600.859,10730.880 29612.551,10754.250 29616.439,10777.630 29624.240,10789.320 29635.920,10843.850 29635.920,10855.540 29647.609,10886.710 29655.400,10929.560 29667.090,10952.930 29674.881,10984.100 29678.770,10984.100 29698.250,11023.050 29702.150,11038.640 29713.840,11046.430 29713.840,11054.220 29717.730,11054.220 29721.631,11062.010 29729.420,11065.910 29803.430,11132.130 29861.869,11132.130 29889.141,11139.920 29998.221,11139.920 30002.109,11143.820 30009.900,11143.820 30009.900,11147.710 30025.490,11155.510 30029.381,11163.300 30044.961,11171.090 30044.961,11174.980 30060.551,11194.460 30064.439,11194.460 30072.230,11210.040 30080.020,11210.040 30087.820,11221.730 30111.189,11229.520 30122.881,11229.520 30130.670,11233.420 30165.730,11233.420 30173.520,11229.520 30173.520,11225.630 30177.420,11225.630 30189.100,11210.040 30189.100,11206.150 30231.949,11206.150 30243.641,11213.940 30251.430,11213.940 30255.330,11221.730 30259.221,11221.730 30259.221,11229.520 30278.699,11249.000 30290.391,11268.480 30294.279,11268.480 30294.279,11287.960 30298.180,11291.850 30298.180,11323.020 30270.910,11373.660 30270.910,11393.140 30267.020,11400.930 30267.020,11435.990 30263.119,11435.990 30263.119,11443.780 30255.330,11447.680 30255.330,11455.470 30251.430,11455.470 30243.641,11467.160 30228.061,11478.840 30224.160,11478.840 30200.789,11498.320 30193.000,11510.010 30169.619,11529.490 30161.830,11529.490 30161.830,11533.380 30154.039,11533.380 30150.150,11537.280 30068.340,11537.280 30052.760,11525.590 30033.279,11521.690 30029.381,11513.900 30017.689,11513.900 30009.900,11506.110 30006.010,11506.110 30006.010,11502.220 29967.051,11502.220 29955.359,11498.320 29900.830,11498.320 29893.029,11506.110 29881.350,11510.010 29877.449,11517.800 29869.660,11517.800 29865.760,11525.590 29861.869,11525.590 29861.869,11529.490 29857.971,11529.490 29857.971,11533.380 29846.289,11537.280 29842.391,11545.070 29834.600,11548.960 29826.811,11564.550 29822.910,11564.550 29807.330,11599.610 29807.330,11611.290 29803.430,11615.190 29799.539,11634.670 29795.641,11634.670 29795.641,11806.080 29803.430,11825.550 29803.430,11837.240 29807.330,11845.030 29811.230,11845.030 29815.119,11856.720 29822.910,11856.720 29834.600,11868.410 29854.080,11876.200 29865.760,11887.880 29881.350,11895.680 29885.240,11903.470 29916.410,11919.050 29916.410,11922.950 29928.100,11922.950 29928.100,11926.840 29970.949,11946.320 29978.740,11954.110 29986.529,11969.690 30002.109,11981.380 30002.109,11993.070 30009.900,11996.960 30009.900,12004.750 30017.689,12020.340 30017.689,12039.810 30009.900,12078.770 29990.430,12102.140 29986.529,12113.830 29982.631,12113.830 29982.631,12191.740 29978.740,12211.220 29974.840,12215.120 29970.949,12230.700 29959.260,12246.280 29959.260,12257.970 29951.471,12273.550 29939.779,12320.300 29939.779,12331.990 29931.990,12339.780 29928.100,12363.150 29920.301,12370.940 29920.301,12386.530 29912.510,12390.420 29912.510,12398.210 29904.721,12409.900 29904.721,12417.690 29896.930,12429.380 29896.930,12437.170 29893.029,12437.170 29885.240,12468.330 29885.240,12480.020 29877.449,12491.710 29873.561,12511.190 29861.869,12542.350 29861.869,12550.140 29854.080,12561.830 29854.080,12581.310 29850.180,12596.890 29834.600,12639.740 29822.910,12667.010 29819.020,12667.010 29819.020,12674.800 29811.230,12690.390 29807.330,12690.390 29787.850,12709.860 29694.359,12709.860 29682.670,12702.070 29667.090,12702.070 29663.189,12698.180 29655.400,12698.180 29639.820,12690.390 29624.240,12690.390 29624.240,12686.490 29616.439,12678.700 29593.070,12663.120 29593.070,12592.990 29608.650,12573.520 29612.551,12561.830 29616.439,12561.830 29620.340,12546.250 29632.029,12534.560 29632.029,12526.770 29635.920,12526.770 29651.500,12507.290 29655.400,12483.920 29663.189,12476.130 29667.090,12476.130 29667.090,12472.230 29678.770,12460.540 29678.770,12452.750 29682.670,12452.750 29686.570,12444.960 29709.939,12425.480 29709.939,12417.690 29729.420,12402.110 29729.420,12394.320 29737.211,12390.420 29737.211,12386.530 29756.689,12370.940 29780.061,12363.150 29783.961,12355.360 29791.750,12355.360 29807.330,12347.570 29807.330,12343.670 29819.020,12343.670 29822.910,12339.780 29834.600,12300.820 29834.600,12289.140 29838.500,12289.140 29842.391,12273.550 29850.180,12265.760 29854.080,12254.070 29865.760,12238.490 29865.760,12222.910 29873.561,12207.330 29873.561,12191.740 29877.449,12191.740 29877.449,12133.310 29873.561,12121.620 29850.180,12102.140 29850.180,12094.350 29846.289,12094.350 29842.391,12082.670 29826.811,12070.980 29803.430,12043.710 29795.641,12043.710 29791.750,12035.920 29748.900,12016.440 29733.311,12000.860 29709.939,11989.170 29690.461,11973.590 29690.461,11969.690 29678.770,11961.900 29651.500,11930.740 29624.240,11891.780 29600.859,11864.510 29593.070,11817.760 29593.070,11794.390 29596.971,11794.390 29596.971,11786.600 29600.859,11786.600 29604.760,11778.810 29608.650,11759.330 29616.439,11751.540 29620.340,11716.480 29628.131,11693.100 29628.131,11669.730 29635.920,11654.150 29647.609,11642.460 29647.609,11626.880 29674.881,11572.340 29674.881,11564.550 29682.670,11552.860 29682.670,11545.070 29694.359,11541.170 29721.631,11513.900 29725.520,11513.900 29733.311,11498.320 29756.689,11486.630 29760.580,11474.950 29772.270,11467.160 29791.750,11439.890 29803.430,11435.990 29819.020,11424.300 29838.500,11420.410 29869.660,11404.830 29889.141,11400.930 29893.029,11393.140 29955.359,11393.140 29955.359,11389.240 29990.430,11389.240 29998.221,11385.350 30060.551,11385.350 30076.131,11377.560 30087.820,11354.180 30083.920,11346.390 30056.650,11330.810 30002.109,11311.330 29939.779,11299.640 29865.760,11291.850 29834.600,11291.850 29791.750,11276.270 29752.789,11256.790 29729.420,11252.900 29721.631,11245.100 29706.039,11237.310 29706.039,11233.420 29682.670,11221.730 29678.770,11213.940 29651.500,11194.460 29635.920,11171.090 29628.131,11171.090 29608.650,11151.610 29604.760,11143.820 29600.859,11143.820 29593.070,11124.340 29573.590,11097.070 29550.221,11050.320 29546.320,11034.740 29542.430,11030.850 29542.430,11019.160 29530.740,10999.680 29522.949,10976.310 29515.160,10968.510 29515.160,10956.830 29511.260,10956.830 29491.779,10890.600 29483.990,10882.810 29483.990,10875.020 29468.410,10836.060 29452.830,10781.520 29452.830,10680.240 29448.930,10668.550 29448.930,10629.590 29445.039,10614.010 29445.039,10594.530 29437.240,10571.160 29433.350,10567.260 29433.350,10555.580 29429.449,10555.580 29425.561,10547.790 29417.770,10520.520 29409.980,10508.830 29409.980,10434.810 29421.660,10403.650 29429.449,10403.650 29433.350,10395.860 29448.930,10384.170 29448.930,10376.380 29456.721,10360.800 29456.721,10349.110 29460.619,10349.110",-1,-1,-1,-1,-1,-1,-1
20286,"1 | Full ROI","1 | Full ROI","Polygon","29712.605,11951.466 29724.102,11963.106 29741.281,11970.057 29825.252,11897.153 29790.672,11877.932 29784.865,11846.828 29793.293,11807.605 29804.086,11787.870 29811.314,11767.510 29803.645,11746.179 29792.988,11715.250 29808.789,11676.135 29799.771,11663.171 29804.361,11647.681 29804.637,11619.678 29818.965,11595.148 29834.809,11574.019 29852.637,11545.190 29897.096,11506.720 29857.813,11452.741 29807.908,11488.275 29786.451,11508.903 29777.848,11537.543 29741.762,11548.487 29747.973,11575.617 29726.289,11570.374 29708.064,11597.887 29670.396,11676.338 29666.979,11763.181 29677.488,11789.297 29667.344,11854.704 29685.219,11925.327",-1,-1,-1,-1,-1,-1,"-0.018234112154652315,0.6018571786297023,12502.96145727595,-0.5971007431445698,-0.021831800710999882,26972.259869425303,0,0,1"
20287,"2 | Full ROI","2 | Full ROI","Polygon","29849.711,11892.093 29843.822,11852.847 29896.227,11804.063 29945.127,11775.121 29882.238,11781.777 29872.758,11756.305 29948.094,11718.891 29887.258,11710.308 29841.035,11714.889 29830.820,11690.959 29815.314,11720.302 29829.770,11774.431 29813.783,11822.752 29806.689,11856.366",-1,-1,-1,-1,-1,-1,"-0.008834882276932321,0.6015941233181678,12290.73334998665,-0.6013270429904648,-0.020138527344706853,27023.50274213389,0,0,1"
20288,"3 | Full ROI","3 | Full ROI","Polygon","29632.393,11087.009 29710.910,11045.218 29759.334,11077.947 29786.213,11095.133 29864.598,11125.198 29923.406,11148.645 29969.004,11134.752 30039.961,11148.866 30050.172,11209.645 30094.209,11204.778 30104.012,11247.605 30104.244,11335.616 30046.213,11346.277 29995.127,11274.107 29938.695,11277.536 29928.564,11220.347 29820.752,11216.281 29710.275,11172.773",-1,-1,-1,-1,-1,-1,"-0.01388828972785048,0.6010536095871721,12427.653357557007,-0.6113872982625541,-0.017387643581119553,27184.909936954253,0,0,1"
20289,"4 | Full ROI","4 | Full ROI","Polygon","29591.955,10937.335 29559.385,10915.789 29522.975,10851.624 29507.980,10748.578 29511.340,10704.238 29480.445,10659.635 29469.066,10558.392 29441.631,10487.196 29463.088,10455.417 29497.174,10425.509 29524.441,10466.535 29533.781,10525.170 29542.895,10542.986 29543.189,10596.229 29554.184,10628.256 29552.559,10660.187 29576.182,10694.087 29590.910,10749.214 29594.762,10793.610 29607.707,10852.273 29627.627,10868.396 29624.248,10909.188",-1,-1,-1,-1,-1,-1,"-0.003355128134107501,0.6140132007059105,11771.438583517287,-0.604444726939823,0.004705212669932163,26349.685125923363,0,0,1"
20290,"5 | Full ROI","5 | Full ROI","Polygon","19964.707,11370.473 20039.277,11402.322 20089.273,11438.957 20106.660,11490.678 20132.264,11542.143 20175.768,11560.889 20255.691,11533.589 20271.316,11503.641 20247.805,11454.120 20202.102,11427.402 20168.098,11366.148 20186.545,11250.999 20229.900,11149.144 20166.113,11145.100 20134.717,11226.481 20110.764,11265.419 20124.631,11349.411 20142.568,11431.267 20184.928,11490.303 20149.648,11481.299 20105.266,11414.338 20034.691,11376.333",-1,-1,-1,-1,-1,-1,"-0.010932855221038162,0.6116522620563645,12093.479120205397,-0.5982129035205013,-0.019048752567299536,26760.99715469221,0,0,1"
20291,"6 | Full ROI","6 | Full ROI","Polygon","20014.818,11517.296 20076.230,11467.486 20109.080,11556.151 20166.979,11581.468 20239.613,11549.713 20308.697,11479.476 20258.244,11427.649 20354.672,11411.689 20383.154,11496.376 20397.184,11589.441 20229.336,11669.594 20106.611,11602.857",-1,-1,-1,-1,-1,-1,"-0.022602333208421407,0.6276498697625653,12158.791855339792,-0.6036861123704296,-0.011448999109280978,26790.08449587646,0,0,1"
