Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
17719,"undefined","Fallopian Tube","Polyline","1205.240,3865.670 1857.490,3213.420 2084.360,2958.190 2169.440,2929.830 2226.150,2901.470 2254.510,2901.470 2424.670,2788.030 2538.100,2759.670 2679.890,2702.960 2764.970,2646.240 2821.690,2617.880 2906.760,2617.880 2935.120,2589.520 3020.200,2561.160 3048.560,2532.800 3161.990,2476.090 3247.070,2419.370 3303.790,2391.010 3417.220,2305.930 3473.940,2249.210 3587.380,2192.500 3842.610,2022.340 3956.040,1965.630 4012.760,1965.630 4126.190,1937.270 4608.290,1937.270 4806.810,1908.910 4920.240,1880.550 5147.110,1880.550 5288.910,1852.190 5742.650,1852.190 5884.440,1908.910 6054.590,1937.270 6168.030,1993.990 6338.180,2022.340 6536.690,2107.420 6763.560,2220.860 6848.640,2277.570 6877.000,2305.930 7047.150,2391.010 7132.230,2476.090 7274.020,2561.160 7359.100,2646.240 7415.820,2674.600 7444.180,2702.960 7444.180,2731.310 7500.890,2844.750 7500.890,3440.290 7415.820,3695.510 7387.460,3808.950 7330.740,3950.740 7217.300,4205.970 7132.230,4347.770 6962.070,4688.070 6820.280,4886.580 6706.850,5028.380 6621.770,5170.170 6479.980,5368.680 6423.260,5538.840 6253.110,5879.140 6253.110,5935.860 6196.390,6049.300 6196.390,6106.010 6168.030,6191.090 6168.030,6389.600 6139.670,6503.040 6139.670,7070.210 6168.030,7155.290 6168.030,7297.080 6196.390,7438.880 6196.390,8743.380 6224.750,8998.610 6224.750,9197.130 6253.110,9423.990 6309.820,9707.580 6309.820,9906.100 6338.180,10047.890 6338.180,11097.160 6309.820,11210.600 6281.460,11380.750 6253.110,11494.190 6196.390,11664.340 6168.030,11806.130 6139.670,11919.570 6139.670,11976.290 6082.950,12118.080 5997.880,12259.880 5941.160,12344.950 5884.440,12458.390 5856.080,12600.180 5771.010,12713.620 5629.210,12997.210 5572.490,13082.280 5345.620,13309.150 5260.550,13365.870 5203.830,13394.230 5118.750,13422.590 4069.480,13422.590 3899.320,13394.230 3757.530,13337.510 3587.380,13309.150 3388.860,13224.080 3247.070,13195.720 3076.920,13139.000 2878.410,13053.920 2764.970,12997.210 2679.890,12940.490 2566.460,12855.410 2056.000,12344.950 1914.210,12174.800 1800.770,12061.360 1715.700,11947.930 1630.620,11862.850 1545.540,11749.420 1403.750,11579.260 1318.670,11494.190 1205.240,11352.390 1035.080,11097.160 950.010,10927.010 921.650,10813.580 836.570,10671.780 723.140,10444.910 694.780,10359.840 638.060,10246.400 581.340,10161.320 524.620,10047.890 467.910,9906.100 439.550,9821.020 382.830,9707.580 354.470,9622.510 297.750,9537.430 269.390,9452.350 269.390,9395.640 212.680,9310.560 184.320,9168.760 155.960,9140.410 99.240,8913.540 70.880,8828.460 42.520,8771.740 42.520,8658.310 14.170,8601.590 14.170,8006.050 42.520,7864.260 42.520,7750.820 70.880,7665.750 99.240,7552.310 99.240,7438.880 127.600,7297.080 127.600,7212.010 155.960,7155.290 155.960,7041.860 184.320,6956.780 184.320,6786.620 212.680,6758.270 212.680,6191.090 241.040,6049.300 241.040,5765.710 269.390,5680.630 269.390,5425.400 354.470,5170.170 382.830,5056.740 411.190,4971.660 467.910,4886.580 524.620,4716.430 609.700,4603.000 638.060,4517.920 694.780,4432.840 723.140,4347.770 779.850,4205.970 836.570,4149.250 864.930,4092.540 893.290,4064.180 893.290,4007.460 978.370,3922.380 978.370,3894.030 1006.730,3894.030 1035.080,3865.670 1035.080,3837.310 1063.440,3837.310 1063.440,3808.950 1091.800,3808.950 1091.800,3780.590 1120.160,3780.590 1120.160,3752.230 1148.520,3752.230 1148.520,3723.870 1205.240,3723.870",-1,-1,-1,-1,-1,-1,-1
17720,"undefined","Fallopian Tube","Polyline","14874.180,2419.370 14874.180,2476.090 15498.080,3553.720 15583.150,3894.030 15583.150,4971.660 15413.000,5141.810 15356.290,5170.170 15242.850,5198.530 15101.060,5311.970 15044.340,5340.330 14959.260,5368.680 14789.110,5453.760 14704.030,5482.120 14590.600,5510.480 14477.160,5567.200 14392.080,5595.550 14108.500,5737.350 14080.140,5765.710 14023.420,5794.070 13938.350,5879.140 13881.630,5907.500 13853.270,5935.860 13768.190,5964.220 13683.110,6020.940 13654.760,6077.650 13484.600,6191.090 13342.810,6332.880 13257.730,6446.320 13172.660,6531.400 13115.940,6616.470 13030.860,6729.910 12917.430,6956.780 12860.710,7041.860 12803.990,7155.290 12775.630,7240.370 12718.910,7382.160 12662.200,7467.240 12605.480,7609.030 12577.120,7694.110 12548.760,7750.820 12492.040,7920.980 12378.610,8147.850 12321.890,8318.000 12293.530,8459.790 12265.170,8516.510 12236.820,8658.310 12208.460,8743.380 12180.100,8913.540 12180.100,8998.610 12151.740,9112.050 12151.740,9877.730 12180.100,9962.810 12180.100,10047.890 12208.460,10161.320 12236.820,10246.400 12293.530,10388.190 12321.890,10473.270 12378.610,10558.350 12406.970,10643.420 12492.040,10756.860 12520.400,10813.580 12548.760,10898.650 12605.480,11012.090 12662.200,11040.450 12690.550,11097.160 12775.630,11182.240 12803.990,11238.960 12832.350,11267.320 12860.710,11324.040 12917.430,11352.390 12974.140,11437.470 13059.220,11522.550 13144.300,11579.260 13201.010,11607.620 13257.730,11664.340 13342.810,11721.060 13399.530,11749.420 13427.880,11777.780 13541.320,11834.490 13598.040,11891.210 13711.470,11947.930 13768.190,12004.650 13853.270,12033.010 13909.980,12033.010 13938.350,12061.360 14023.420,12089.720 14136.860,12118.080 14193.570,12118.080 14278.650,12146.440 14448.800,12146.440 14789.110,12231.520 14959.260,12231.520 15044.340,12259.880 15214.490,12259.880 15299.570,12288.240 15753.310,12288.240 15866.740,12259.880 15951.820,12231.520 16093.610,12174.800 16178.690,12146.440 16292.120,12118.080 16377.200,12089.720 16490.641,12033.010 16774.230,11919.570 16830.939,11891.210 17029.449,11806.130 17199.609,11749.420 17483.199,11579.260 18220.520,11210.600 18362.320,11125.520 18419.039,11097.160 18504.109,11040.450 18560.830,10983.730 18702.619,10898.650 18787.699,10841.930 18844.420,10813.580 18929.490,10756.860 18986.211,10700.140 19128.010,10586.700 19184.721,10529.990 19269.801,10473.270 19354.881,10388.190 19411.590,10359.840 19525.029,10246.400 19610.109,10104.610 19666.820,9991.170 19723.539,9906.100 19808.619,9735.940 19836.980,9622.510 19893.689,9480.710 19950.410,9310.560 19950.410,9225.480 19978.770,9140.410 19978.770,9055.330 20007.131,8941.890 20035.490,8856.820 20035.490,8743.380 20063.850,8658.310 20063.850,8544.870 20092.199,8374.720 20092.199,7268.720 20035.490,6985.140 20035.490,6814.980 20007.131,6559.750 20007.131,6417.960 19978.770,6247.810 19978.770,5879.140 19950.410,5737.350 19950.410,4914.940 19922.051,4744.790 19922.051,4546.280 19893.689,4404.480 19865.340,4205.970 19865.340,4092.540 19836.980,4007.460 19780.260,3808.950 19723.539,3553.720 19695.180,3497.000 19666.820,3355.210 19581.750,3099.980 19468.311,2844.750 19411.590,2702.960 19354.881,2589.520 19269.801,2447.730 19184.721,2334.290 19042.930,2079.060 18901.141,1852.190 18787.699,1710.400 18702.619,1596.960 18617.551,1455.170 18532.471,1370.090 18362.320,1143.220 18050.369,831.270 17965.289,774.560 17936.939,746.200 17766.789,632.760 17681.711,604.400 17568.270,547.690 17511.551,547.690 17454.840,519.330 17369.760,519.330 17256.320,490.970 17086.170,490.970 17029.449,519.330 16944.381,576.040 16689.150,661.120 16604.070,717.840 16547.350,746.200 16405.561,802.920 16348.840,859.630 16235.410,944.710 16207.050,1001.430 16065.250,1114.860 16008.540,1171.580 15838.380,1285.010 15696.590,1426.810 15611.510,1483.530 15554.800,1540.240 15469.720,1596.960 15327.920,1738.760 15271.210,1767.110 15214.490,1823.830 15157.770,1852.190 15072.700,1937.270 15044.340,1993.990 15015.980,2022.340 14987.620,2022.340 14987.620,2050.700 14930.900,2107.420 14930.900,2192.500 14874.180,2305.930 14874.180,2362.650 14845.830,2362.650 14845.830,2561.160 14874.180,2561.160 14874.180,2589.520",-1,-1,-1,-1,-1,-1,-1
17721,"undefined","Fallopian Tube","Polyline","26728.170,14358.430 26217.711,13592.740 26217.711,13507.660 26274.430,13224.080 26274.430,13195.720 26387.859,13053.920 26472.939,12968.850 26529.660,12940.490 26558.010,12855.410 26643.090,12798.690 27040.119,12401.670 27096.830,12344.950 27125.189,12288.240 27153.551,12259.880 27210.270,12231.520 27266.990,12118.080 27323.711,12089.720 27352.061,12033.010 27408.779,11976.290 27437.141,11919.570 27493.859,11862.850 27522.221,11806.130 27578.930,11721.060 27664.010,11635.980 27692.369,11579.260 27805.801,11465.830 27834.160,11409.110 27947.600,11295.680 28004.320,11182.240 28089.391,11097.160 28174.471,10927.010 28202.830,10841.930 28259.539,10756.860 28287.900,10728.500 28316.260,10671.780 28344.619,10643.420 28372.980,10586.700 28372.980,10558.350 28628.211,10303.120 28713.279,10246.400 28770.000,10189.680 28826.721,10161.320 28883.439,10076.250 28940.150,10019.530 29025.240,9962.810 29167.029,9821.020 29195.381,9821.020 29223.740,9764.300 29280.461,9735.940 29365.539,9650.860 29393.900,9650.860 29422.260,9622.510 29478.971,9622.510 29592.410,9565.790 29620.770,9537.430 29677.490,9509.070 29790.920,9480.710 29876.000,9452.350 29932.721,9423.990 30017.789,9423.990 30074.510,9395.640 30131.230,9395.640 30187.939,9367.280 31265.580,9367.280 31350.660,9423.990 31379.010,9452.350 31464.090,9509.070 31549.170,9537.430 31605.891,9565.790 31662.600,9622.510 31719.320,9650.860 31832.760,9764.300 31917.830,9821.020 31946.189,9849.380 31974.551,9906.100 32002.910,9934.450 32087.980,9991.170 32173.061,10076.250 32201.420,10132.960 32286.500,10218.040 32286.500,10246.400 32343.211,10331.480 32428.289,10501.630 32456.650,10586.700 32456.650,10671.780 32485.010,10785.220 32513.359,10870.290 32541.721,10983.730 32570.090,11153.880 32598.439,11238.960 32626.801,11352.390 32626.801,11465.830 32655.160,11607.620 32655.160,11749.420 32683.520,11947.930 32711.881,12061.360 32740.240,12146.440 32740.240,12259.880 32768.590,12401.670 32768.590,13082.280 32740.240,13167.360 32655.160,13280.790 32598.439,13365.870 32513.359,13507.660 32456.650,13621.100 32399.930,13677.820 32371.570,13734.540 32343.211,13762.890 32314.850,13819.610 32258.131,13847.970 32201.420,13904.690 32173.061,13961.400 32144.699,13989.760 32116.340,14018.120 32059.619,14046.480 32059.619,14074.840 32002.910,14131.560 31946.189,14159.920 31917.830,14188.280 31861.109,14216.630 31832.760,14216.630 31776.039,14244.990 31690.961,14273.350 31634.240,14301.710 31549.170,14301.710 31435.740,14330.070 31322.301,14386.790 31265.580,14443.510 31208.859,14443.510 31180.500,14471.860 31123.779,14471.860 31095.430,14500.220 30755.119,14500.220 30698.400,14471.860 30556.609,14443.510 30499.891,14443.510 30386.449,14415.140 30301.381,14386.790 30131.230,14358.430 29961.070,14301.710 29507.330,14301.710 29393.900,14330.070 29308.820,14358.430 29252.100,14415.140 29195.381,14415.140 29025.240,14500.220 28855.080,14500.220 28798.359,14528.580 28004.320,14528.580 27862.520,14500.220 27805.801,14500.220 27692.369,14471.860 27578.930,14471.860 27578.930,14443.510 26926.680,14443.510 26898.320,14415.140 26869.961,14415.140 26841.600,14386.790 26813.240,14386.790 26784.881,14358.430 26756.529,14358.430 26699.811,14301.710 26671.449,14301.710 26671.449,14273.350 26643.090,14273.350 26643.090,14244.990 26586.369,14188.280 26586.369,14159.920 26558.010,14131.560 26558.010,14103.200 26529.660,14074.840 26501.301,14074.840 26501.301,14046.480 26472.939,14046.480",-1,-1,-1,-1,-1,-1,-1
17722,"undefined","p53 signature","Polyline","16423.480,9522.420 16414.619,9533.050 16403.980,9538.370 16389.801,9538.370 16368.530,9531.280 16327.770,9531.280 16315.360,9543.690 16272.820,9559.640 16255.100,9575.590 16246.240,9579.130 16235.600,9579.130 16214.330,9572.040 16171.790,9554.320 16146.980,9554.320 16134.570,9561.410 16088.490,9561.410 16068.990,9556.090 15982.150,9559.640 15971.510,9554.320 15920.110,9541.910 15898.840,9531.280 15882.890,9527.730 15858.080,9527.730 15803.130,9540.140 15773.000,9552.550 15734.010,9575.590 15721.600,9584.450 15686.150,9621.670 15661.340,9660.670 15654.250,9681.930 15656.020,9736.880 15663.110,9758.150 15680.830,9791.830 15705.650,9814.870 15721.600,9825.500 15749.960,9837.910 15797.810,9843.230 15824.400,9843.230 15849.210,9832.590 15893.520,9802.460 15946.700,9743.970 15952.010,9740.420 15975.060,9740.420 15991.010,9752.830 15991.010,9782.960 15978.600,9804.230 15953.790,9832.590 15921.880,9878.670 15914.790,9901.720 15920.110,9924.760 15930.740,9935.390 15994.550,9956.660 16070.770,9961.980 16123.940,9960.210 16141.660,9953.120 16177.110,9928.300 16217.880,9908.810 16251.550,9887.540 16281.690,9862.720 16306.500,9860.950 16315.360,9866.270 16333.090,9869.810 16364.990,9869.810 16372.080,9866.270 16411.070,9832.590 16458.930,9779.420 16492.600,9712.070 16494.381,9685.480 16464.240,9623.440 16434.109,9538.370 16418.160,9524.190",-1,-1,-1,-1,-1,-1,-1
17723,"undefined","p53 signature","Polyline","13802.390,11856.480 13809.480,11750.130 13809.480,11693.420 13816.570,11679.240 13816.570,11473.640 13809.480,11452.370 13809.480,11431.100 13802.390,11416.920 13802.390,11402.740 13795.300,11388.560 13795.300,11367.290 13788.210,11353.110 13788.210,11310.570 13781.120,11303.480 13781.120,10977.360 13788.210,10949.000 13788.210,10906.460 13795.300,10892.280 13795.300,10849.740 13802.390,10828.470 13830.750,10771.760 13844.930,10729.220 13873.290,10686.680 13887.470,10658.320 13922.920,10608.690 13944.190,10587.420 14000.910,10516.530 14029.260,10466.900 14029.260,10452.720 14050.530,10403.090 14064.710,10381.820 14085.980,10325.100 14100.160,10303.840 14121.430,10261.300 14142.700,10254.210 14149.790,10247.120 14206.510,10247.120 14284.490,10296.740 14312.850,10325.100 14334.120,10332.190 14383.750,10381.820 14412.110,10396.000 14433.380,10417.270 14454.650,10431.450 14497.180,10452.720 14624.800,10488.170 14794.950,10551.970 14894.210,10573.240 14929.660,10587.420 15064.360,10615.780 15135.260,10615.780 15149.440,10622.870 15184.890,10622.870 15199.070,10629.960 15220.330,10629.960 15262.870,10644.140 15305.410,10665.410 15319.590,10665.410 15355.040,10686.680 15418.850,10715.040 15447.200,10722.130 15475.560,10736.310 15567.730,10764.670 15787.510,10764.670 15815.870,10757.580 16071.100,10757.580 16099.460,10750.490 16106.550,10743.400 16120.730,10743.400 16142.000,10729.220 16156.180,10729.220 16163.260,10722.130 16170.350,10722.130 16191.620,10707.950 16205.800,10707.950 16212.890,10700.860 16227.070,10693.770 16234.160,10693.770 16248.340,10679.590 16255.430,10679.590 16262.520,10672.500 16276.700,10672.500 16283.790,10665.410 16312.150,10658.320 16326.330,10644.140 16375.960,10615.780 16397.230,10594.510 16418.490,10587.420 16446.850,10573.240 16461.029,10559.060 16482.301,10551.970 16510.660,10523.620 16531.930,10516.530 16574.471,10495.260 16595.740,10481.080 16624.100,10452.720 16624.100,10445.630 16638.279,10424.360 16652.449,10417.270 16666.631,10388.910 16694.990,10360.550 16702.080,10346.370 16723.350,10339.280 16730.439,10325.100 16772.980,10282.570 16794.250,10268.390 16808.430,10254.210 16815.520,10254.210 16829.699,10240.030 16836.789,10240.030 16843.881,10232.940 16886.410,10211.670 16943.131,10176.220 16957.311,10162.040 16985.670,10147.860 17049.480,10091.140 17070.750,10084.050 17077.840,10069.870 17113.279,10048.610 17120.369,10034.430 17148.730,10020.250 17198.359,9970.620 17219.631,9935.170 17226.721,9913.900 17240.900,9899.720 17255.080,9864.270 17269.260,9843.000 17269.260,9828.820 17276.350,9814.650 17276.350,9807.560 17290.529,9786.290 17290.529,9779.200 17297.619,9772.110 17297.619,9765.020 17311.801,9750.840 17311.801,9743.750 17318.891,9743.750 17333.070,9729.570 17340.160,9729.570 17347.250,9722.480 17361.420,9722.480 17375.600,9715.390 17389.779,9715.390 17446.500,9701.210 17453.590,9694.120 17496.131,9679.940 17531.580,9672.850 17567.029,9672.850 17581.211,9679.940 17595.381,9679.940 17609.561,9687.030 17652.100,9694.120 17673.369,9694.120 17751.359,9708.300 17772.631,9708.300 17793.900,9715.390 17815.170,9715.390 17836.430,9729.570 17850.609,9729.570 17886.061,9765.020 17928.600,9835.910 17949.869,9857.180 18027.859,9899.720 18049.131,9920.990 18120.020,9963.530 18141.289,9984.800 18155.471,9991.890 18169.650,10013.160 18205.100,10048.610 18212.189,10069.870 18226.369,10076.960 18240.551,10091.140 18254.730,10112.410 18304.359,10140.770 18318.529,10154.950 18332.711,10162.040 18339.801,10162.040 18346.891,10169.130 18346.891,10176.220 18353.980,10176.220 18353.980,10183.310 18368.160,10197.490 18368.160,10211.670 18375.250,10218.760 18375.250,10232.940 18389.430,10254.210 18396.520,10275.480 18396.520,10388.910 18382.340,10431.450 18353.980,10473.990 18198.010,10644.140 18148.381,10686.680 18112.930,10729.220 18034.949,10807.200 18006.590,10828.470 17985.320,10849.740 17971.141,10885.190 17949.869,10920.640 17914.420,10963.180 17893.150,10998.630 17871.881,11012.810 17857.699,11034.070 17843.520,11048.250 17822.260,11062.430 17808.080,11076.610 17793.900,11083.700 17772.631,11104.970 17758.449,11112.060 17744.270,11126.240 17694.641,11147.510 17680.461,11161.690 17630.830,11190.050 17545.760,11275.120 17510.311,11303.480 17481.949,11317.660 17453.590,11338.930 17446.500,11338.930 17403.961,11367.290 17389.779,11381.470 17368.510,11388.560 17340.160,11409.830 17311.801,11416.920 17262.170,11445.280 17219.631,11459.460 17141.641,11501.990 17106.199,11509.080 17077.840,11530.350 17049.480,11537.440 16992.760,11558.710 16914.770,11594.160 16822.609,11622.520 16751.711,11650.880 16510.660,11728.870 16439.760,11757.220 16397.230,11764.310 16312.150,11792.670 16269.610,11799.760 16170.350,11828.120 16127.820,11835.210 16092.370,11835.210 16049.830,11842.300 15638.630,11842.300 15574.820,11849.390 15518.100,11849.390 15461.380,11856.480 15362.130,11856.480 15312.500,11863.570 15262.870,11863.570 15177.800,11877.750 15078.540,11877.750 15021.820,11884.840 14965.100,11884.840 14943.840,11891.930 14837.490,11891.930 14816.220,11899.020 14447.560,11899.020 14405.020,11906.110 14220.690,11906.110 14199.420,11899.020 14163.970,11899.020 14135.610,11884.840 14128.520,11884.840 14071.800,11863.570 14057.620,11863.570 14036.350,11856.480 14007.990,11856.480 13986.730,11849.390 13972.550,11849.390 13937.100,11842.300 13922.920,11835.210 13894.560,11835.210 13880.380,11828.120 13866.200,11828.120 13830.750,11813.940 13823.660,11813.940 13795.300,11799.760 13774.040,11778.490 13774.040,11771.400 13759.860,11757.220 13759.860,11721.780 13766.950,11707.600 13795.300,11679.240 13802.390,11665.060 13823.660,11643.790 13823.660,11629.610 13830.750,11622.520 13830.750,11608.340",-1,-1,-1,-1,-1,-1,-1
17724,"undefined","p53 signature","Polyline","5266.840,9181.010 5805.650,9308.620 5862.370,9351.160 6018.350,9450.410 6032.530,9450.410 6046.710,9478.770 6046.710,9492.950 6060.880,9507.130 6060.880,9592.210 6046.710,9606.390 6046.710,9620.570 6032.530,9620.570 6032.530,9634.750 6018.350,9648.930 5989.990,9705.640 5975.810,9762.360 5890.730,10017.590 5876.550,10088.490 5862.370,10131.030 5862.370,10159.380 5848.190,10201.920 5848.190,10428.790 5862.370,10457.150 5862.370,10542.230 5876.550,10584.770 5876.550,10769.100 5890.730,10811.640 5890.730,10925.070 5904.910,10995.970 5904.910,11407.170 5890.730,11435.530 5890.730,11478.070 5876.550,11506.430 5876.550,11534.790 5862.370,11563.150 5848.190,11605.680 5848.190,11676.580 5834.010,11704.940 5834.010,11747.480 5819.830,11761.660 5819.830,11790.020 5805.650,11818.380 5805.650,11846.730 5791.480,11860.910 5791.480,11889.270 5777.300,11945.990 5763.120,11960.170 5763.120,12031.070 5748.940,12059.430 5734.760,12116.140 5734.760,12144.500 5692.220,12300.470 5692.220,12328.830 5678.040,12371.370 5678.040,12399.730 5663.860,12428.090 5663.860,12456.450 5649.680,12498.990 5649.680,12513.170 5635.500,12527.350 5621.320,12569.880 5592.960,12626.600 5578.780,12640.780 5564.610,12683.320 5522.070,12725.860 5507.890,12754.220 5493.710,12768.400 5451.170,12796.750 5436.990,12825.110 5422.810,12839.290 5394.450,12853.470 5380.270,12881.830 5366.090,12896.010 5337.730,12910.190 5323.550,12924.370 5323.550,12938.550 5295.200,12952.730 5281.020,12966.910 5252.660,12966.910 5252.660,12981.090 5210.120,12995.270 5210.120,13009.450 5181.760,13009.450 5167.580,13023.620 5153.400,13023.620 5139.220,13037.800 5110.860,13051.980 5082.510,13051.980 5068.330,13066.160 5039.970,13080.340 4997.430,13080.340 4983.250,13094.520 4883.990,13094.520 4883.990,13108.700 4586.230,13108.700 4557.870,13080.340 4529.510,13080.340 4472.790,13051.980 4387.710,12966.910 4373.530,12966.910 4331.000,12924.370 4331.000,12910.190 4288.460,12867.650 4288.460,12853.470 4260.100,12796.750 4245.920,12782.580 4231.740,12754.220 4231.740,12598.240 4245.920,12584.060 4245.920,12569.880 4260.100,12569.880 4260.100,12555.700 4274.280,12541.520 4274.280,12527.350 4288.460,12513.170 4288.460,12456.450 4302.640,12428.090 4302.640,12399.730 4316.820,12371.370 4316.820,12045.250 4302.640,12002.710 4288.460,11931.810 4274.280,11903.450 4260.100,11846.730 4118.310,11634.040 4089.950,11605.680 4061.590,11563.150 4047.410,11534.790 4033.230,11520.610 4019.050,11492.250 4019.050,11463.890 4004.870,11449.710 4004.870,11435.530 4175.020,11435.530 4274.280,11407.170 4316.820,11378.810 4373.530,11350.450 4430.250,11293.740 4444.430,11293.740 4444.430,11279.560 4458.610,11279.560 4486.970,11251.200 4501.150,11251.200 4543.690,11208.660 4557.870,11208.660 4586.230,11194.480 4614.590,11166.120 4657.120,11137.760 4685.480,11081.050 4728.020,11038.510 4756.380,10995.970 4770.560,10967.610 4827.280,10910.890 4841.450,10882.530 4869.810,10854.180 4898.170,10811.640 4954.890,10712.380 4969.070,10669.840 4997.430,10627.310 5025.790,10528.050 5039.970,10499.690 5054.150,10442.970 5054.150,10400.430 5068.330,10357.900 5068.330,10329.540 5082.510,10272.820 5082.510,10258.640 5096.680,10216.100 5096.680,10173.560 5110.860,10159.380 5110.860,10088.490 5125.040,10031.770 5125.040,9478.770 5139.220,9422.060 5139.220,9393.700 5153.400,9365.340 5153.400,9308.620 5167.580,9280.260 5167.580,9266.080 5181.760,9251.900 5181.760,9237.720 5210.120,9237.720 5210.120,9223.540 5238.480,9223.540 5238.480,9209.360 5266.840,9209.360 5266.840,9195.190 5295.200,9195.190 5309.380,9181.010 5380.270,9181.010",-1,-1,-1,-1,-1,-1,-1
20388,"1 | Full ROI","1 | Full ROI","Polygon","14260.251,11381.903 14213.445,11379.901 14192.862,11384.500 14167.371,11356.178 14143.578,11324.109 14127.194,11284.779 14126.354,11237.364 14145.666,11203.889 14180.337,11178.322 14196.115,11209.938 14206.986,11187.509 14207.477,11161.291 14246.447,11189.095 14276.431,11226.634 14296.577,11268.736 14309.688,11286.120 14300.697,11309.936 14303.972,11331.884 14286.240,11355.847",-1,-1,-1,-1,-1,-1,"0.055206916990543586,0.6060334793570956,-4844.26138430992,-0.5777772906724785,0.034211539277313345,19706.852600530114,0,0,1"
20389,"2 | Full ROI","2 | Full ROI","Polygon","15317.500,11129.126 15244.726,11033.778 15207.075,10945.779 15342.116,10909.002 15382.163,10816.607 15483.930,10785.271 15491.599,10818.635 15616.169,10809.063 15589.096,10889.766 15593.935,10994.452 15561.994,11039.490 15449.490,11131.740",-1,-1,-1,-1,-1,-1,"0.055206916990543586,0.6060334793570956,-4844.26138430992,-0.5777772906724785,0.034211539277313345,19706.852600530114,0,0,1"
20390,"3 | Full ROI","3 | Full ROI","Polygon","3134.218,12465.436 3080.817,12508.840 3012.639,12489.056 2964.659,12428.715 2966.851,12360.088 2989.101,12342.003 2955.214,12318.717 2900.847,12283.064 2851.150,12219.014 2829.207,12155.382 2831.417,12075.367 2931.834,12069.179 2906.817,12117.366 2901.189,12178.572 2910.757,12208.860 2941.134,12214.343 2993.748,12269.060 3024.332,12317.080 3036.268,12399.987 3050.747,12421.641 3093.903,12433.680",-1,-1,-1,-1,-1,-1,"0.05573736419076081,0.6025089525684844,-5524.727314552925,-0.6062492233081602,0.21145389141023038,17722.63268421709,0,0,1"
20391,"4 | Full ROI","4 | Full ROI","Polygon","5478.067,10828.814 5424.576,10761.527 5417.594,10677.824 5471.100,10666.564 5466.169,10483.005 5469.352,10371.313 5521.521,10269.526 5535.315,10151.291 5543.458,10066.062 5679.823,10023.774 5751.370,10111.122 5633.972,10137.819 5594.451,10211.757 5624.914,10284.884 5580.420,10384.724 5548.580,10430.530 5545.619,10566.038 5540.632,10670.489 5539.265,10737.060 5515.332,10752.369 5552.344,10809.205 5548.272,10851.820",-1,-1,-1,-1,-1,-1,"0.055206916990543586,0.6060334793570956,-4844.26138430992,-0.5777772906724785,0.034211539277313345,19706.852600530114,0,0,1"
