Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
33715,"Normal Fallopian Tube","Normal Fallopian Tube","Polygon","89469.844,79182.750 63023.129,80753.844 50585.320,74600.398 44300.961,50510.320 48490.531,39512.680 65903.469,24456.391 80566.992,26943.949 95754.211,28515.039 105442.609,33228.309 109632.188,40429.148 109632.188,48808.309 116702.102,52605.109 120106.133,58758.551 114345.461,77611.656",-1,-1,-1,-1,-1,-1,-1
33716,"Fimbriae","Fimbriae","Polygon","61582.969,13982.440 50192.551,34275.711 40242.301,43047.641 31732.221,48677.379 18247.020,47237.219 8296.770,52343.262 3583.500,40429.148 572.240,27205.801 965.010,18302.939 3190.720,10447.480 11438.950,5079.590 23353.070,4555.890 49537.930,1806.480 55822.301,3508.500",-1,-1,-1,-1,-1,-1,-1
33717,"Fimbriae","Fimbriae","Polygon","118927.813,50117.551 111072.352,45797.051 109108.492,35454.031 101514.883,26158.400 83316.398,27336.721 69831.203,18433.869 77686.656,5734.210 97979.922,1675.560 124950.328,8483.620 134638.734,14767.990 133722.266,28384.109 133853.188,41345.621 131496.547,46582.590",-1,-1,-1,-1,-1,-1,-1
33718,"Normal Fallopian tube","Normal Fallopian tube","Polygon","27935.090,79706.750 11176.780,79903.133 3517.710,72244.063 3845.020,62948.441 12093.250,55943.980 23680.051,48088.531 34350.379,49659.621 42925.922,49463.230 42009.449,55551.211 35594.160,69821.961 31731.891,77153.719",-1,-1,-1,-1,-1,-1,-1
33719,"STIC","STIC","Polygon","39173.328,44359.109 36789.051,41076.859 42909.738,38486.148 44117.359,40467.891",-1,-1,-1,-1,-1,-1,-1
